Coenti;Noenti;Cogrupo;Nogrupo
04871     ;VOTORANTIM SEGUROS E PREVIDÊNCIA S/A;     ;
04928     ;STARR INTERNATIONAL BRASIL SEGURADORA S.A.;     ;
04936     ;COMPANHIA CAPITAL DE SEGUROS - MICROSSEGURADORA;     ;
04952     ;SUHAI SEGURADORA S.A. ;     ;
04987     ;EURE-EXTERIOR;     ;
05011     ;CHUBB DO BRASIL CIA DE SEGUROS;     ;
05037     ;SUL AMERICA UNIBANCO SEGURADORA S/A;     ;
05045     ;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA;     ;
05061     ;SEGURADORA OCEÂNICA S/A;     ;
05070     ;ZURICH SANTANDER BRASIL SEGUROS E PREVIDÊNCIA S.A.;     ;
05088     ;BS SEGURO DE VIDA S/A;     ;
05096     ;ITAÚ VIDA E PREVIDÊNCIA S/A;     ;
05100     ;COMERCIAL DO PARA COMPANHIA DE SEGUROS;     ;
05118     ;TRADITIO COMPANHIA DE SEGUROS;     ;
05126     ;UNIVERSAL COMPANHIA DE SEGUROS GERAIS;     ;
05134     ;EQUITATIVA DOS ESTADOS UNIDOS DO BRASIL;     ;
05142     ;ICATU SEGUROS S.A;     ;
05151     ;TOKIO MARINE BRASIL SEGURADORA S.A.;     ;
05169     ;SAU SEGUROS E PREVIDENCIA S/A;     ;
05177     ;ALLIANZ SEGUROS S.A.;     ;
05177     ;ALLIANZ SEGUROS S.A.;     ;
05185     ;YELUM SEGUROS S.A. ;     ;
05193     ;COMPANHIA DE SEGUROS PREVIDÊNCIA DO SUL - PREVISUL;     ;
05207     ;CIA SUL BRASIL DE SEGUROS TERR E MAR;     ;
05215     ;ITAÚ VIDA E PREVIDÊNCIA S.A. (INATIVA);     ;
05240     ;SUL AMERICA TERRESTRES,MARÍTIMOS E ACIDENTES CIA DE SEGUROS;     ;
05258     ;HABITASUL SEGURADORA S/A;     ;
05266     ;MOTOR UNION SEGUROS S/A;     ;
05274     ;BANESTES SEGUROS S.A.;     ;
05282     ;PRUDENTIAL DO BRASIL SEGUROS DE VIDA S.A;     ;
05312     ;BRADESCO AUTO/RE COMPANHIA DE SEGUROS;     ;
05321     ;ITAU SEGUROS S.A.;     ;
05355     ;AZUL COMPANHIA DE SEGUROS GERAIS;     ;
05363     ;MERIDIONAL COMPANHIA DE SEGUROS GERAIS;     ;
05398     ;ALIANCA RIO GRANDENSE COMPANHIA DE SEGUROS GERAIS;     ;
05401     ;PQ SEGUROS S.A.;     ;
05410     ;NOVO MUNDO;     ;
05436     ;JUNTO SEGUROS S.A.;     ;
05444     ;BRADESCO SEGUROS S.A;     ;
05452     ;FORTALEZA CIA NACIONAL DE SEGUROS;     ;
05461     ;ATLANTICA - BRADESCO CIA DE SEGUROS;     ;
05479     ;APLUB SEGUROS S/A;     ;
05487     ;SANTANDER BRASIL SEGUROS S/A - INATIVA;     ;
05495     ;ZURICH MINAS BRASIL SEGUROS S.A. ;     ;
05509     ;DELFIN SEGURADORA S/A;     ;
05533     ;ATLÂNTICA COMPANHIA DE SEGUROS;     ;
05541     ;CCF BRASIL SEGUROS S.A. (HSBC SAÚDE S.A.) MUDOU DE DENOMINAÇÃO PARA HSBC EMPRESA DE CAPITALIZAÇÃO (BRASIL) S.A.;     ;
05550     ;SEGURADORA INDUSTRIAL E MERCANTIL S/A;     ;
05568     ;SAFRA CIA DE SEGUROS;     ;
05584     ;MULTIPLIC COMPANHIA DE SEGUROS;     ;
05592     ;TOTAL SEGURADORA S/A;     ;
05606     ;ARBI SEGUROS S/A;     ;
05614     ;SUL AMÉRICA SANTA CRUZ SEGUROS S/A;     ;
05622     ;BRASILSAÚDE COMPANHIA DE SEGUROS;     ;
05631     ;CAIXA SEGURADORA S.A.;     ;
05649     ;CGU COMPANHIA DE SEGUROS;     ;
05657     ;VANGUARDA COMPANHIA DE SEGUROS GERAIS;     ;
05665     ;MAPFRE VIDA S.A.;     ;
05673     ;ITABORAÍ SEGUROS S/A;     ;
05681     ;SUL AMERICA BANDEIRANTE SEGUROS S/A;     ;
05690     ;COMPANHIA EXCELSIOR DE SEGUROS;     ;
05711     ;BRADESCO  SAUDE S.A;     ;
05720     ;SOMPO SEGUROS S.A.;     ;
05738     ;FINANCIAL CIA DE SEGUROS;     ;
05746     ;TREVO BANORTE SEGURADORA S/A ;     ;
05789     ;AMIL SEGURADORA S/A;     ;
05801     ;TREVO SEGURADORA S/A;     ;
05819     ;ALLSEG SEGURADORA S.A.;     ;
05827     ;FINANCIAL SEGUROS GERAIS S/A;     ;
05835     ;BAMERINDUS VIDA S/A;     ;
05843     ;INDIANA SEGUROS S.A.;     ;
05851     ;CASTELO COSTA CIA DE SEGUROS;     ;
05886     ;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;     ;
05894     ;PATRIA CIA BRASILEIRA SEGUROS GERAIS;     ;
05908     ;GENERALI  BRASIL  SEGUROS S.A.;     ;
05916     ;REAL SEGURADORA S.A.;     ;
05924     ;COMPANHIA DE SEGUROS RIO BRANCO;     ;
05932     ;ATLANTICA - BRADESCO SEGUROS S.A;     ;
05941     ;ZURICH BRASIL COMPANHIA DE SEGUROS;     ;
05975     ;BCN SEGURADORA S.A.;     ;
05983     ;UNIBANCO AIG SEGUROS S/A;     ;
05991     ;SWISS RE CORPORATE SOLUTIONS BRASIL SEGUROS S.A.;     ;
06009     ;BANERJ SEGUROS S/A;     ;
06017     ;CENTAURO VIDA E PREVIDÊNCIA S. A. ;     ;
06033     ;PORTO SEGURO VIDA E PREVIDÊNCIA S/A.;     ;
06041     ;PARANÁ COMPANHIA DE SEGUROS;     ;
06076     ;MUNDIAL SEGURADORA S/A;     ;
06084     ;MBM SEGURADORA S.A.;     ;
06092     ;NOVO HAMBURGO CIA. DE SEGUROS GERAIS;     ;
06106     ;KIRTON SEGUROS S.A.;     ;
06114     ;ITATIAIA SEGUROS S/A;     ;
06122     ;FATOR SEGURADORA S/A ;     ;
